Name,Cost,Date,Tags
Doctor's Appointment,,"April 16, 2021 2:00 PM (EDT)","Important (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Important%204810c9687cc441d0aa3f3d697ca10a52.md), Medical (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Medical%208fdc4dd28b8443f98f9716d8ed16761a.md)"
Anniversary,,"March 14, 2021",Relationship (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Relationship%2050c049532e3c4605819aa48c42cef4bc.md)
Fourth of July,,"July 4, 2022","Important (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Important%204810c9687cc441d0aa3f3d697ca10a52.md), Family (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Family%2002b4b7f0edb4400ba3eb9aed36cf3fb6.md), Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md)"
Summer Solstice,,"June 20, 2022",Important (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Important%204810c9687cc441d0aa3f3d697ca10a52.md)
Halloween,,"October 31, 2022","Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md), Spooky (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Spooky%204c1009db5fb04f67a829fef31fe1d2a2.md)"
Labor Day Weekend,,"September 3, 2021 → September 6, 2021",Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md)
Vet Appointment,,"May 18, 2022 4:00 PM (EDT)","Pets (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Pets%20811860dc4a29406d901d139e84f79e48.md), Medical (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Medical%20fbd3db6a0846440cbe2f7c8f988e38a4.md)"
Fourth of July,,"July 4, 2021","Important (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Important%204810c9687cc441d0aa3f3d697ca10a52.md), Family (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Family%2002b4b7f0edb4400ba3eb9aed36cf3fb6.md), Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md)"
Important Meeting,,"February 11, 2021","Important (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Important%204810c9687cc441d0aa3f3d697ca10a52.md), Work (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Work%2035f7594203784a6c9142b5992d64c921.md)"
Vacation,,"August 13, 2021 12:00 AM (EDT) → August 18, 2021 4:00 PM (EDT)","Personal (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Personal%203c628baaef264fe39a3334b342ba3669.md), Relationship (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Relationship%2050c049532e3c4605819aa48c42cef4bc.md), Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md)"
Vet Appointment,,"May 18, 2021 4:00 PM (EDT)","Pets (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Pets%20811860dc4a29406d901d139e84f79e48.md), Medical (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Medical%20fbd3db6a0846440cbe2f7c8f988e38a4.md)"
New Years Day,,"January 1, 2021","Home (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Home%20f9a7f95a8a2c4ef9b80cd00ce3cc67f6.md), Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md), Personal (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Personal%203c628baaef264fe39a3334b342ba3669.md)"
Vacation,,"August 13, 2022 12:00 AM (EDT) → August 18, 2022 4:00 PM (EDT)","Personal (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Personal%203c628baaef264fe39a3334b342ba3669.md), Relationship (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Relationship%2050c049532e3c4605819aa48c42cef4bc.md), Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md)"
Labor Day Weekend,,"September 3, 2022 → September 6, 2022",Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md)
Thanksgiving,,"November 19, 2022","Important (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Important%204810c9687cc441d0aa3f3d697ca10a52.md), Family (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Family%2002b4b7f0edb4400ba3eb9aed36cf3fb6.md), Pets (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Pets%20811860dc4a29406d901d139e84f79e48.md)"
Summer Solstice,,"June 20, 2021",Important (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Important%204810c9687cc441d0aa3f3d697ca10a52.md)
Christmas,,"December 25, 2020","Important (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Important%204810c9687cc441d0aa3f3d697ca10a52.md), Personal (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Personal%203c628baaef264fe39a3334b342ba3669.md), Home (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Home%20f9a7f95a8a2c4ef9b80cd00ce3cc67f6.md)"
Halloween,,"October 31, 2021","Fun (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Fun%20facc3b8725ae4eb391313e8e05d9a9b6.md), Spooky (Notion%20Global%20Tag%20Database%20Step-by-Step%207f6514f3f68f4ab889d206e618331557/%5BEx%5D%20TAGS%20DATABASE%2054fc518590e044f1bdaf8f5c40696f5a/Spooky%204c1009db5fb04f67a829fef31fe1d2a2.md)"